time_s cwnd_bytes
8.65925 90403
8.66375 90426
8.66989 90449
8.67439 90472
8.67724 90495
8.68174 90518
8.68706 90541
8.69321 90564
8.69688 90587
8.70138 90610
8.7067 90633
8.7112 90656
8.71487 90679
8.71937 90702
8.72469 90725
8.72836 90748
8.73286 90771
8.73818 90794
8.74268 90817
8.74471 90840
8.74838 90863
8.75123 90886
8.7549 90909
8.7594 90932
8.76225 90955
8.7651 90978
8.76877 91001
8.77245 91024
8.77612 91047
8.77815 91070
8.78017 91093
8.78549 91116
8.78752 91139
8.78954 91162
8.79322 91184
8.79442 91206
8.79809 91228
8.80094 91250
8.80462 91272
8.80829 91294
8.81196 91316
8.81564 91338
8.81849 91360
8.82216 91382
8.82583 91404
8.82951 91426
8.85955 91448
8.86322 91470
8.8669 91492
8.87222 91514
8.87589 91536
8.88039 91558
8.88571 91580
8.89021 91602
8.89635 91624
8.90332 91646
8.91112 91668
8.91726 91690
8.92753 91712
8.93532 91734
8.94312 91756
8.94679 91778
8.95129 91800
8.95578 91822
8.96193 91844
8.96643 91866
8.96928 91888
8.97377 91910
8.9791 91932
8.98524 91954
8.98892 91976
8.99341 91998
8.99956 92020
9.00406 92042
9.00773 92064
9.01223 92086
9.01755 92108
9.02205 92130
9.02654 92152
9.03187 92174
9.03636 92196
9.03839 92218
9.04206 92240
9.04574 92262
9.04941 92284
9.05391 92306
9.05676 92328
9.05961 92350
9.06328 92372
9.06695 92394
9.07063 92416
9.07265 92438
9.0755 92460
9.08082 92482
9.08285 92504
9.08488 92526
9.08855 92548
9.09057 92570
9.09425 92592
9.09545 92614
9.09748 92636
9.10115 92658
9.10482 92680
9.1085 92702
9.11217 92724
9.11584 92746
9.11952 92768
9.12319 92790
9.12686 92812
9.15443 92834
9.15811 92856
9.16178 92878
9.16628 92900
9.16995 92922
9.17445 92944
9.17895 92966
9.18344 92988
9.18877 93010
9.19574 93032
9.20271 93054
9.20885 93076
9.21829 93098
9.22691 93120
9.2347 93142
9.2392 93164
9.2437 93186
9.2482 93208
9.25434 93230
9.25884 93252
9.26169 93274
9.26619 93296
9.27151 93318
9.27765 93340
9.28133 93362
9.28583 93384
9.29197 93406
9.29647 93428
9.30014 93450
9.30546 93472
9.31079 93494
9.31528 93516
9.31978 93538
9.3251 93560
9.3296 93582
9.33245 93604
9.33612 93626
9.3398 93648
9.34347 93670
9.34797 93692
9.35082 93714
9.35367 93736
9.35734 93758
9.36184 93780
9.36551 93802
9.36754 93824
9.37039 93846
9.37571 93868
9.37773 93890
9.37976 93912
9.38426 93934
9.38628 93956
9.38996 93978
9.39116 94000
9.39318 94022
9.39768 94044
9.40136 94066
9.40256 94088
9.40541 94110
9.40908 94132
9.41275 94154
9.41643 94176
9.4201 94198
9.42377 94220
9.44887 94242
9.45337 94264
9.45704 94286
9.46072 94308
9.46439 94330
9.46889 94352
9.47339 94374
9.47706 94396
9.48238 94418
9.48853 94440
9.49467 94462
9.50082 94484
9.50944 94506
9.51805 94528
9.52667 94550
9.53117 94572
9.53649 94594
9.54099 94616
9.54631 94638
9.55081 94660
9.55366 94682
9.55815 94704
9.56348 94726
9.56962 94748
9.57329 94770
9.57779 94792
9.58394 94814
9.58926 94836
9.59293 94858
9.59825 94880
9.60358 94902
9.60807 94924
9.6134 94946
9.61872 94968
9.62321 94990
9.62606 95012
9.62974 95034
9.63341 95056
9.63708 95078
9.64158 95100
9.64443 95122
9.64811 95144
9.65178 95166
9.65628 95188
9.65995 95210
9.66198 95232
9.66483 95254
9.67015 95276
9.673 95298
9.67502 95320
9.67952 95341
9.68155 95362
9.68522 95383
9.68642 95404
9.68927 95425
9.69377 95446
9.69744 95467
9.69864 95488
9.70149 95509
9.70599 95530
9.70719 95551
9.71004 95572
